inventory_id,product_id,warehouse_id,inventory_date,opening_stock,quantity_received,quantity_sold,closing_stock
1,1,1,2025-01-01,216,112,86,294
2,2,2,2025-01-02,295,87,125,211
3,3,3,2025-01-03,253,82,150,133
4,4,4,2025-01-04,236,113,136,215
5,5,5,2025-01-05,261,70,99,203
6,6,6,2025-01-06,213,103,135,200
7,7,7,2025-01-07,120,37,116,13
8,8,8,2025-01-08,80,22,132,0
9,9,9,2025-01-09,172,86,104,190
10,10,10,2025-01-10,69,18,148,0
11,11,1,2025-01-11,233,117,119,245
12,12,2,2025-01-12,292,100,120,227
13,13,3,2025-01-13,282,87,116,186
14,14,4,2025-01-14,225,73,93,269
15,15,5,2025-01-15,261,92,105,207
16,16,6,2025-01-16,215,74,145,129
17,17,7,2025-01-17,103,39,146,9
18,18,8,2025-01-18,107,55,144,7
19,19,9,2025-01-19,155,63,106,157
20,20,10,2025-01-20,69,31,130,0
21,1,1,2025-01-21,209,88,117,214
22,2,2,2025-01-22,210,70,99,188
23,3,3,2025-01-23,252,72,88,195
24,4,4,2025-01-24,228,106,117,191
25,5,5,2025-01-25,241,120,87,241
26,6,6,2025-01-26,274,106,83,295
27,7,7,2025-01-27,83,26,113,6
28,8,8,2025-01-28,87,44,101,33
29,9,9,2025-01-29,189,84,87,184
30,10,10,2025-01-30,67,27,123,0
31,11,1,2025-01-31,225,92,98,243
32,12,2,2025-02-01,289,90,102,247
33,13,3,2025-02-02,258,74,104,245
34,14,4,2025-02-03,287,94,130,245
35,15,5,2025-02-04,208,120,108,293
36,16,6,2025-02-05,246,93,93,246
37,17,7,2025-02-06,85,58,95,63
38,18,8,2025-02-07,113,54,136,17
39,19,9,2025-02-08,207,86,126,167
40,20,10,2025-02-09,62,35,127,0
41,1,1,2025-02-10,237,72,148,195
42,2,2,2025-02-11,267,80,115,188
43,3,3,2025-02-12,275,104,103,247
44,4,4,2025-02-13,215,116,136,209
45,5,5,2025-02-14,203,118,137,211
46,6,6,2025-02-15,277,95,144,229
47,7,7,2025-02-16,113,56,119,26
48,8,8,2025-02-17,102,56,115,30
49,9,9,2025-02-18,210,56,108,158
50,10,10,2025-02-19,73,18,94,0
51,11,1,2025-02-20,272,75,150,200
52,12,2,2025-02-21,253,99,97,249
53,13,3,2025-02-22,290,92,99,234
54,14,4,2025-02-23,278,116,102,309
55,15,5,2025-02-24,224,120,101,235
56,16,6,2025-02-25,273,91,113,231
57,17,7,2025-02-26,120,42,135,18
58,18,8,2025-02-27,118,30,138,0
59,19,9,2025-02-28,189,76,105,155
60,20,10,2025-03-01,40,13,80,0
61,1,1,2025-03-02,212,117,130,245
62,2,2,2025-03-03,274,100,110,265
