product_id,product_name,category,unit_price
1,product_1,electronics,500
2,product_2,electronics,550
3,product_3,electronics,600
4,product_4,electronics,650
5,product_5,electronics,700
6,product_6,electronics,750
7,product_7,electronics,800
8,product_8,electronics,850
9,product_9,electronics,900
10,product_10,electronics,950
11,product_11,electronics,1000
12,product_12,electronics,1050
13,product_13,electronics,1100
14,product_14,electronics,1150
15,product_15,electronics,1200
16,product_16,electronics,1250
17,product_17,electronics,1300
18,product_18,electronics,1350
19,product_19,electronics,1400
20,product_20,electronics,1450
21,product_21,electronics,1500
22,product_22,electronics,1550
23,product_23,electronics,1600
24,product_24,electronics,1650
25,product_25,electronics,1700
26,product_26,electronics,1750
27,product_27,electronics,1800
28,product_28,electronics,1850
29,product_29,electronics,1900
30,product_30,electronics,1950
31,product_31,electronics,2000
32,product_32,grocery,25
33,product_33,grocery,30
34,product_34,grocery,35
35,product_35,grocery,40
36,product_36,grocery,45
37,product_37,grocery,50
38,product_38,grocery,55
39,product_39,grocery,60
40,product_40,grocery,65
41,product_41,grocery,70
42,product_42,grocery,75
43,product_43,grocery,80
44,product_44,grocery,85
45,product_45,grocery,90
46,product_46,grocery,95
47,product_47,grocery,100
48,product_48,grocery,105
49,product_49,grocery,110
50,product_50,grocery,115
51,product_51,grocery,120
52,product_52,health,50
53,product_53,health,60
54,product_54,health,70
55,product_55,health,80
56,product_56,health,90
57,product_57,health,100
58,product_58,health,110
59,product_59,health,120
60,product_60,health,130
61,product_61,health,140
62,product_62,health,150
63,product_63,health,160
64,product_64,health,170
65,product_65,health,180
66,product_66,health,190
67,product_67,health,200
68,product_68,health,210
69,product_69,health,220
70,product_70,health,230
71,product_71,health,240
72,product_72,clothing,80
73,product_73,clothing,100
74,product_74,clothing,120
75,product_75,clothing,140
76,product_76,clothing,160
77,product_77,clothing,180
78,product_78,clothing,200
79,product_79,clothing,220
80,product_80,clothing,240
81,product_81,clothing,260
82,product_82,clothing,280
83,product_83,clothing,300
84,product_84,clothing,320
85,product_85,clothing,350
86,product_86,clothing,400
87,product_87,furniture,1000
88,product_88,furniture,1200
89,product_89,furniture,1400
90,product_90,furniture,1600
91,product_91,furniture,1800
92,product_92,furniture,2000
93,product_93,furniture,2200
94,product_94,furniture,2400
95,product_95,furniture,2600
96,product_96,furniture,2800
97,product_97,furniture,3000
98,product_98,furniture,3200
99,product_99,furniture,3400
100,product_100,furniture,3600
